trip_month,pickup_borough,dropoff_borough,trip_count,avg_trip_distance,avg_total_amount,total_revenue
2014-01-01 00:00:00,N/A,N/A,4336,3.23,38.97,168985.83
2014-01-01 00:00:00,Queens,Unknown,1167,5.58,30.31,35371.24
2014-01-01 00:00:00,Unknown,Bronx,35,11.19,42.59,1490.69
2014-02-01 00:00:00,Manhattan,Bronx,54845,9.08,31.7,1738682.0
2014-02-01 00:00:00,Bronx,Manhattan,3615,3.93,17.01,61492.74
2014-03-01 00:00:00,Unknown,N/A,48,6.97,45.0,2160.18
2014-04-01 00:00:00,Manhattan,N/A,16365,11.14,72.91,1193126.03
2014-04-01 00:00:00,Unknown,Manhattan,9605,2.51,13.92,133735.65
2014-04-01 00:00:00,Manhattan,Staten Island,1994,18.8,75.65,150843.64
2014-05-01 00:00:00,Brooklyn,Queens,24030,8.32,30.38,729922.57
2014-05-01 00:00:00,Queens,N/A,9443,19.46,92.46,873103.63
2014-05-01 00:00:00,EWR,EWR,351,4.87,66.76,23434.01
2014-05-01 00:00:00,N/A,N/A,5925,4.0,38.78,229799.98
2014-05-01 00:00:00,Queens,Staten Island,695,26.62,88.83,61735.64
2014-05-01 00:00:00,Staten Island,Staten Island,80,3.94,19.41,1552.97
2014-05-01 00:00:00,Unknown,Bronx,123,9.53,33.87,4165.79
2014-05-01 00:00:00,Bronx,Unknown,54,4.72,20.69,1117.22
2014-06-01 00:00:00,Unknown,Unknown,317875,2.86,15.11,4801891.91
2014-06-01 00:00:00,N/A,Brooklyn,65,8.67,36.34,2362.04
2014-06-01 00:00:00,Bronx,Queens,401,9.79,38.14,15292.58
2014-07-01 00:00:00,Manhattan,N/A,14655,11.54,73.75,1080860.23
2014-07-01 00:00:00,Queens,Unknown,1242,7.23,35.1,43592.33
2014-07-01 00:00:00,Manhattan,Staten Island,1707,18.63,74.94,127926.83
2014-07-01 00:00:00,N/A,Manhattan,830,3.79,20.55,17058.85
2014-07-01 00:00:00,Unknown,N/A,100,9.69,74.57,7456.96
2014-07-01 00:00:00,Bronx,N/A,135,10.65,55.05,7431.85
2014-08-01 00:00:00,N/A,N/A,4479,4.57,45.0,201548.0
2014-08-01 00:00:00,Queens,EWR,733,28.41,122.2,89569.92
2014-08-01 00:00:00,Brooklyn,N/A,233,17.32,86.11,20063.18
2014-08-01 00:00:00,Unknown,EWR,93,17.37,90.32,8399.54
2014-08-01 00:00:00,Brooklyn,Staten Island,96,12.99,54.12,5195.17
2014-09-01 00:00:00,Manhattan,EWR,19748,767.74,89.55,1768415.39
2014-09-01 00:00:00,Queens,N/A,9247,20.54,93.99,869125.42
2014-09-01 00:00:00,Queens,Staten Island,697,26.74,88.16,61445.35
2014-09-01 00:00:00,Unknown,Queens,1934,9.0,36.19,69989.45
2014-09-01 00:00:00,N/A,Queens,140,11.18,42.94,6011.29
2014-10-01 00:00:00,Unknown,Unknown,184997,2.84,15.32,2834455.99
2014-10-01 00:00:00,Manhattan,Unknown,4888,2.48,16.52,80772.08
2014-11-01 00:00:00,Manhattan,Queens,480049,63.08,39.31,18872156.28
2014-11-01 00:00:00,N/A,Unknown,57,0.83,57.4,3271.63
2014-12-01 00:00:00,Queens,Brooklyn,92537,114.58,42.8,3960363.44
2014-12-01 00:00:00,Manhattan,Bronx,58337,9.14,31.17,1818150.62
2014-12-01 00:00:00,Bronx,Manhattan,3539,3.73,16.34,57827.64
2015-01-01 00:00:00,Queens,Manhattan,350850,12.59,48.09,16873621.06
2015-01-01 00:00:00,Manhattan,EWR,14939,17.28,89.49,1336857.1
2015-01-01 00:00:00,EWR,Manhattan,13,12.27,72.25,939.31
2015-01-01 00:00:00,Unknown,Bronx,151,9.18,32.04,4838.26
2015-02-01 00:00:00,Brooklyn,Bronx,523,15.74,51.41,26889.11
2015-02-01 00:00:00,Staten Island,Manhattan,21,13.12,51.38,1078.96
2015-03-01 00:00:00,Unknown,Unknown,204376,2.81,15.48,3163734.89
2015-03-01 00:00:00,Queens,Manhattan,411292,40.31,49.57,20387855.81
2015-04-01 00:00:00,N/A,N/A,3124,5.28,55.86,174492.73
2015-04-01 00:00:00,Queens,EWR,456,31.34,136.31,62158.17
2015-05-01 00:00:00,Manhattan,N/A,14012,12.87,77.06,1079748.86
2015-05-01 00:00:00,Manhattan,Staten Island,1786,18.9,78.2,139665.6
2015-05-01 00:00:00,N/A,EWR,108,9.85,86.57,9350.06
2015-06-01 00:00:00,Queens,Manhattan,417909,17.75,50.75,21207433.58
2015-06-01 00:00:00,Unknown,EWR,80,15.13,93.12,7449.45
2015-06-01 00:00:00,Bronx,Brooklyn,125,14.09,49.31,6163.73
2015-07-01 00:00:00,Queens,Manhattan,382267,12.96,50.01,19116923.87
2015-07-01 00:00:00,Manhattan,N/A,11970,13.04,76.45,915116.47
2015-07-01 00:00:00,Manhattan,Staten Island,1496,18.86,78.75,117814.18
2015-08-01 00:00:00,N/A,EWR,80,10.3,85.78,6862.37
2015-09-01 00:00:00,Bronx,Bronx,3872,2.6,13.21,51160.01
2015-09-01 00:00:00,Brooklyn,N/A,192,20.71,105.97,20345.78
2015-09-01 00:00:00,Brooklyn,Staten Island,76,12.69,54.43,4136.4
2015-09-01 00:00:00,Unknown,EWR,68,16.14,97.82,6651.56
2015-10-01 00:00:00,Unknown,Brooklyn,1298,6.35,27.3,35434.44
2015-10-01 00:00:00,Brooklyn,EWR,170,17.96,95.32,16205.04
2015-10-01 00:00:00,N/A,EWR,86,9.01,84.83,7295.09
2015-11-01 00:00:00,Manhattan,Queens,411364,10.23,41.01,16868036.61
2015-11-01 00:00:00,Brooklyn,Queens,12015,8.04,30.13,362063.36
2015-11-01 00:00:00,N/A,Queens,73,16.17,67.08,4896.64
2015-11-01 00:00:00,EWR,Queens,4,24.18,101.49,405.96
2016-01-01 00:00:00,Queens,Manhattan,353960,12.95,50.47,17865048.1
2016-01-01 00:00:00,Unknown,Unknown,136909,2.82,15.51,2123425.6
2016-01-01 00:00:00,Brooklyn,Queens,10794,7.72,29.18,315016.38
2016-01-01 00:00:00,N/A,Manhattan,306,6.54,29.89,9147.39
2016-01-01 00:00:00,EWR,Manhattan,6,13.14,65.25,391.52
2016-02-01 00:00:00,Brooklyn,Manhattan,48855,5.03,22.92,1119968.98
2016-02-01 00:00:00,Unknown,Queens,1339,7.94,35.45,47465.53
2016-02-01 00:00:00,EWR,EWR,208,7.29,81.31,16913.5
2016-03-01 00:00:00,Unknown,Unknown,146175,2.88,15.81,2310571.88
2016-04-01 00:00:00,Unknown,Bronx,167,9.36,35.28,5891.91
2016-04-01 00:00:00,Bronx,Unknown,5,1.73,12.15,60.76
2016-05-01 00:00:00,Brooklyn,Brooklyn,152087,81.23,12.83,1950924.02
2016-06-01 00:00:00,Queens,Queens,171523,5.25,21.33,3659256.89
2016-06-01 00:00:00,Unknown,N/A,111,7.14,83.43,9260.97
2016-07-01 00:00:00,Bronx,Bronx,5295,2.83,14.46,76564.58
2016-08-01 00:00:00,N/A,Manhattan,297,5.2,29.53,8771.2
2016-08-01 00:00:00,EWR,Unknown,2,6.72,97.48,194.96
2016-09-01 00:00:00,Manhattan,Bronx,48331,8.85,32.14,1553329.62
2016-09-01 00:00:00,Brooklyn,Brooklyn,116906,2.25,12.84,1500924.01
2016-09-01 00:00:00,Unknown,N/A,112,8.36,82.28,9215.22
2016-10-01 00:00:00,EWR,EWR,276,4.9,82.97,22898.5
2016-10-01 00:00:00,Bronx,N/A,97,11.86,54.67,5303.3
2016-10-01 00:00:00,Unknown,N/A,100,7.39,81.09,8109.1
2016-10-01 00:00:00,Brooklyn,EWR,172,18.04,98.09,16870.76
2016-11-01 00:00:00,Brooklyn,Brooklyn,92003,2.19,12.56,1155436.43
2016-12-01 00:00:00,Bronx,Brooklyn,85,15.81,53.36,4535.83
2016-12-01 00:00:00,Unknown,EWR,109,11.16,96.31,10497.98
2016-12-01 00:00:00,Brooklyn,EWR,148,18.19,98.15,14525.61
2016-12-01 00:00:00,N/A,EWR,75,8.56,78.05,5853.79
2017-01-01 00:00:00,Manhattan,Queens,291152,10.0,40.08,11670395.05
2017-01-01 00:00:00,Queens,Queens,139005,5.34,21.08,2930384.68
2017-01-01 00:00:00,Brooklyn,Bronx,279,15.3,49.46,13798.93
2017-01-01 00:00:00,EWR,EWR,233,5.55,73.96,17233.31
2017-01-01 00:00:00,Unknown,Bronx,128,9.66,35.35,4524.97
2017-02-01 00:00:00,Manhattan,Brooklyn,282523,5.99,27.12,7660724.75
2017-02-01 00:00:00,Staten Island,Staten Island,84,3.61,19.81,1663.7
2017-02-01 00:00:00,Bronx,Brooklyn,64,15.69,51.61,3302.97
2017-03-01 00:00:00,Manhattan,EWR,17609,17.54,95.89,1688443.62
2017-03-01 00:00:00,Unknown,N/A,98,5.69,88.91,8713.04
2017-03-01 00:00:00,Unknown,Staten Island,7,8.53,38.47,269.28
2017-03-01 00:00:00,EWR,EWR,223,5.08,76.23,16999.6
2017-03-01 00:00:00,Brooklyn,EWR,96,18.09,99.27,9529.79
2017-04-01 00:00:00,Manhattan,Brooklyn,294845,6.06,27.75,8181774.58
2017-04-01 00:00:00,N/A,N/A,2038,6.08,66.95,136444.85
2017-04-01 00:00:00,Unknown,Manhattan,16434,2.17,14.55,239190.38
2017-04-01 00:00:00,Bronx,Bronx,4657,2.65,13.13,61141.47
2017-04-01 00:00:00,Queens,Unknown,352,12.73,49.69,17491.02
2017-05-01 00:00:00,Unknown,Unknown,115447,2.94,16.38,1890688.92
2017-05-01 00:00:00,Brooklyn,Brooklyn,99940,2.2,12.65,1263928.05
2017-05-01 00:00:00,Bronx,Manhattan,2560,3.84,17.9,45822.63
2017-05-01 00:00:00,EWR,Manhattan,11,15.98,88.86,977.41
2017-06-01 00:00:00,Manhattan,Queens,324873,10.5,42.95,13951689.93
2017-06-01 00:00:00,Queens,Bronx,9465,15.38,55.52,525482.83
2017-06-01 00:00:00,Brooklyn,Queens,9514,7.86,30.18,287160.17
2017-06-01 00:00:00,Bronx,Manhattan,2567,4.05,18.74,48114.02
2017-07-01 00:00:00,N/A,EWR,67,8.21,85.7,5742.11
